Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2015-07-20,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,533.95,0,0.0,,0,0,8603.45
2015-07-21,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,703.75,0.0,493.55,0,0.0,,0,0,8529.45
2015-07-22,NIFTY,2016-03-31,CE,8900.0,477.0,477.0,477.0,477.0,477.0,477.0,1,469000.00000000006,,50,50,8633.5
2015-07-23,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,530.95,0,0.0,,50,0,8589.8
2015-07-24,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,488.65,0,0.0,,50,0,8521.55
2015-07-27,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,450.25,0,0.0,,50,0,8361.0
2015-07-28,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,423.3,0,0.0,,50,0,8337.0
2015-07-29,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,430.35,0,0.0,,50,0,8375.05
2015-07-30,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,444.6,0,0.0,,50,0,8421.8
2015-07-31,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,519.2,0,0.0,,50,0,8532.85
2015-08-03,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,505.25,0,0.0,,50,0,8543.05
2015-08-04,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,476.6,0,0.0,,50,0,8516.9
2015-08-05,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,495.6,0,0.0,,50,0,8567.95
2015-08-06,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,493.0,0,0.0,,50,0,8588.65
2015-08-07,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,465.2,0,0.0,,50,0,8564.6
2015-08-10,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,429.0,0,0.0,,50,0,8525.6
2015-08-11,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,393.25,0,0.0,,50,0,8462.35
2015-08-12,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,358.8,0,0.0,,50,0,8349.45
2015-08-13,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,348.2,0,0.0,,50,0,8355.85
2015-08-14,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,485.75,0,0.0,,50,0,8518.55
2015-08-17,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,448.25,0,0.0,,50,0,8477.3
2015-08-18,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,427.5,0,0.0,,50,0,8466.55
2015-08-19,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,428.55,0,0.0,,50,0,8495.15
2015-08-20,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,389.95,0,0.0,,50,0,8372.75
2015-08-21,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,353.15,0,0.0,,50,0,8299.95
2015-08-24,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,531.05,0,0.0,,50,0,7809.0
2015-08-25,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,542.05,0,0.0,,50,0,7880.7
2015-08-26,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,489.75,0,0.0,,50,0,7791.85
2015-08-27,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,564.05,0,0.0,,50,0,7948.95
2015-08-28,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,565.5,0,0.0,,50,0,8001.95
2015-08-31,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,522.4,0,0.0,,50,0,7971.3
2015-09-01,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,467.9,0,0.0,0.0,50,0,7785.85
2015-09-02,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,423.65,0,0.0,0.0,50,0,7717.0
2015-09-03,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,456.65,0,0.0,0.0,50,0,7823.0
2015-09-04,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,406.35,0,0.0,0.0,50,0,7655.05
2015-09-07,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,357.3,0,0.0,0.0,50,0,7558.8
2015-09-08,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,404.05,0,0.0,0.0,50,0,7688.25
2015-09-09,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,454.05,0,0.0,0.0,50,0,7818.6
2015-09-10,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,419.75,0,0.0,0.0,50,0,7788.1
2015-09-11,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,397.95,0,0.0,0.0,50,0,7789.3
2015-09-14,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,413.75,0,0.0,0.0,50,0,7872.25
2015-09-15,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,378.3,0,0.0,0.0,50,0,7829.1
2015-09-16,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,391.1,0,0.0,0.0,50,0,7899.15
2015-09-18,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,410.75,0,0.0,0.0,50,0,7981.9
2015-09-21,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,383.95,0,0.0,0.0,50,0,7977.1
2015-09-22,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,341.4,0,0.0,0.0,50,0,7812.0
2015-09-23,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,334.85,0,0.0,0.0,50,0,7845.95
2015-09-24,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,324.4,0,0.0,0.0,50,0,7868.5
2015-09-28,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,282.7,0,0.0,0.0,50,0,7795.7
2015-09-29,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,281.95,0,0.0,0.0,50,0,7843.3
2015-09-30,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,316.7,0,0.0,0.0,50,0,7948.9
2015-10-01,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,298.7,0,0.0,0.0,50,0,7950.9
2015-10-05,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,381.75,0,0.0,0.0,50,0,8119.3
2015-10-06,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,377.55,0,0.0,0.0,50,0,8152.9
2015-10-07,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,370.0,0,0.0,0.0,50,0,8177.4
2015-10-08,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,336.1,0,0.0,0.0,50,0,8129.35
2015-10-09,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,348.8,0,0.0,0.0,50,0,8189.7
2015-10-12,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,312.55,0,0.0,0.0,50,0,8143.6
2015-10-13,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,292.05,0,0.0,0.0,50,0,8131.7
2015-10-14,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,268.2,0,0.0,0.0,50,0,8107.9
2015-10-15,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,288.55,0,0.0,0.0,50,0,8179.5
2015-10-16,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,302.15,0,0.0,0.0,50,0,8238.15
2015-10-19,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,300.7,0,0.0,0.0,50,0,8275.05
2015-10-20,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,280.8,0,0.0,0.0,50,0,8261.65
2015-10-21,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,262.75,0,0.0,0.0,50,0,8251.7
2015-10-23,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,268.2,0,0.0,0.0,50,0,8295.45
2015-10-26,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,240.1,0,0.0,0.0,50,0,8260.55
2015-10-27,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,218.3,0,0.0,0.0,50,0,8232.9
2015-10-28,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,192.2,0,0.0,0.0,50,0,8171.2
2015-10-29,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,168.2,0,0.0,0.0,50,0,8111.75
2015-10-30,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,147.8,0,0.0,0.0,50,0,8065.8
2015-11-02,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,130.95,0,0.0,0.0,50,0,8050.8
2015-11-03,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,123.9,0,0.0,0.0,50,0,8060.7
2015-11-04,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,110.25,0,0.0,0.0,50,0,8040.2
2015-11-05,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,94.45,0,0.0,0.0,50,0,7955.45
2015-11-06,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,477.0,477.0,86.2,0,0.0,0.0,50,0,7954.3
2015-11-09,NIFTY,2016-03-31,CE,8900.0,60.0,60.0,60.0,60.0,60.0,60.0,20,13440000.0,90000.0,1550,1500,7915.2
2015-11-10,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,60.0,60.0,67.0,0,0.0,0.0,1550,0,7783.35
2015-11-11,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,60.0,60.0,69.25,0,0.0,0.0,1550,0,7825.0
2015-11-13,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,60.0,60.0,56.95,0,0.0,0.0,1550,0,7762.25
2015-11-16,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,60.0,60.0,58.05,0,0.0,0.0,1550,0,7806.6
2015-11-17,NIFTY,2016-03-31,CE,8900.0,50.0,50.0,50.0,50.0,50.0,50.0,4,2685000.0,15000.0,1850,300,7837.55
2015-11-18,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,50.3,0,0.0,0.0,1850,0,7731.8
2015-11-19,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,76.6,0,0.0,0.0,1850,0,7842.75
2015-11-20,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,71.8,0,0.0,0.0,1850,0,7856.55
2015-11-23,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,61.55,0,0.0,0.0,1850,0,7849.25
2015-11-24,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,52.95,0,0.0,0.0,1850,0,7831.6
2015-11-26,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,57.15,0,0.0,0.0,1850,0,7883.8
2015-11-27,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,65.3,0,0.0,0.0,1850,0,7942.7
2015-11-30,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,55.7,0,0.0,0.0,1850,0,7935.25
2015-12-01,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,53.45,0,0.0,0.0,1850,0,7954.9
2015-12-02,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,45.1,0,0.0,0.0,1850,0,7931.35
2015-12-03,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,36.8,0,0.0,0.0,1850,0,7864.15
2015-12-04,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,30.45,0,0.0,0.0,1850,0,7781.9
2015-12-07,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,24.05,0,0.0,0.0,1850,0,7765.4
2015-12-08,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,19.05,0,0.0,0.0,1850,0,7701.7
2015-12-09,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,16.0,0,0.0,0.0,1850,0,7612.5
2015-12-10,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,21.3,0,0.0,0.0,1850,0,7683.3
2015-12-11,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,16.9,0,0.0,0.0,1850,0,7610.45
2015-12-14,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,50.0,50.0,16.6,0,0.0,0.0,1850,0,7650.05
2015-12-15,NIFTY,2016-03-31,CE,8900.0,18.75,19.0,18.75,19.0,19.0,19.0,24,16054000.0,34000.0,1850,0,7700.9
2015-12-16,NIFTY,2016-03-31,CE,8900.0,20.95,20.95,20.95,20.95,20.95,20.95,3,2007000.0,5000.0,2075,225,7750.9
2015-12-17,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,20.95,20.95,33.5,0,0.0,0.0,2075,0,7844.35
2015-12-18,NIFTY,2016-03-31,CE,8900.0,17.05,17.05,17.05,17.05,17.05,17.05,1,669000.0,1000.0,2075,0,7761.95
2015-12-21,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,32.9,0,0.0,0.0,2075,0,7834.45
2015-12-22,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,25.9,0,0.0,0.0,2075,0,7786.1
2015-12-23,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,35.15,0,0.0,0.0,2075,0,7865.95
2015-12-24,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,30.15,0,0.0,0.0,2075,0,7861.05
2015-12-28,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,34.15,0,0.0,0.0,2075,0,7925.15
2015-12-29,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,30.15,0,0.0,0.0,2075,0,7928.95
2015-12-30,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,23.9,0,0.0,0.0,2075,0,7896.25
2015-12-31,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,27.05,0,0.0,0.0,2075,0,7946.35
2016-01-01,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,25.2,0,0.0,0.0,2075,0,7963.2
2016-01-04,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,26.25,0,0.0,0.0,2075,0,7791.3
2016-01-05,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,21.9,0,0.0,0.0,2075,0,7784.65
2016-01-06,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,16.65,0,0.0,0.0,2075,0,7741.0
2016-01-07,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,17.6,0,0.0,0.0,2075,0,7568.3
2016-01-08,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,17.0,0,0.0,0.0,2075,0,7601.35
2016-01-11,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,11.85,0,0.0,0.0,2075,0,7563.85
2016-01-12,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,8.55,0,0.0,0.0,2075,0,7510.3
2016-01-13,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,17.05,17.05,9.45,0,0.0,0.0,2075,0,7562.4
2016-01-14,NIFTY,2016-03-31,CE,8900.0,6.5,7.5,5.95,7.5,7.5,7.5,9,6012000.0,4000.0,2075,0,7536.8
2016-01-15,NIFTY,2016-03-31,CE,8900.0,7.0,7.3,5.1,5.1,5.1,5.1,5,3340000.0,2000.0,2225,150,7437.8
2016-01-18,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,5.1,5.1,3.4,0,0.0,0.0,2225,0,7351.0
2016-01-19,NIFTY,2016-03-31,CE,8900.0,0.0,0.0,0.0,5.1,5.1,5.2,0,0.0,0.0,2225,0,7435.1
